file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,157,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,11
style.css,158,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,0
style.css,159,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,0
style.css,160,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,0,17
style.css,161,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,10
style.css,162,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,15
style.css,163,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,16
style.css,164,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,8
style.css,165,css,7f533b0c,ColecamC,2026-04-25,22:01:50,-07:00,2026-04-25T22:01:50-07:00,1,25
style.css,166,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,167,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,168,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,18
style.css,169,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,14
style.css,170,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,16
style.css,171,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,172,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,16
style.css,173,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,174,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,175,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,7
style.css,176,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,12
style.css,177,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,57
style.css,178,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,19
style.css,179,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,69
style.css,180,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,13
style.css,181,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,6
style.css,182,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,183,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,12
style.css,184,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,12
style.css,185,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,18
style.css,186,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,9
style.css,187,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,188,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,189,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,7
style.css,190,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,11
style.css,191,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,12
style.css,192,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,29
style.css,193,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,17
style.css,194,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,20
style.css,195,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,196,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,0
style.css,197,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,0,10
style.css,198,css,8978c858,ColecamC,2026-05-02,02:04:43,-07:00,2026-05-02T02:04:43-07:00,1,12
